authorName,createTime,introduce,playTimes,songSheet,tags
默笙,2018-05-14,本期歌单主题：韩系民谣<br><br>歌单内选取了大量韩国清,1331694,海边散步时听的韩系清新民谣,"韩语,民谣"
一阵春风,2018-05-11,当芬兰语跟电子碰撞会擦出什么样的火花，又会发生哪些奇妙的“化,238632, 芬兰语 | 30首惊艳电子臻选,"小语种,电子"
biG橘子,2018-06-04,喜欢Deep House著重于浓厚的灵魂唱腔，很有速度感，蛮,673975,Deep House 魅惑女嗓,"电子,运动"
达人周末,2018-06-08,【达人周末】是一档集合了站内的歌单达人们，各自为所有站内听众,389397,达人周末 | 听说恐怖BGM可以消暑？,影视
到底是谁，在背后说我帅,2018-05-10,喜欢听R&B，偶然间听到法语R&B，被法语那种略带口水的发音,484908,极致浪漫的法语R&B,"R&B,法语"
夜空,2018-06-04,原本民谣生来小众，但自从前几年一曲《南山南》到赵雷的《成都》,340203,想分享到朋友圈的小众华语民谣,"国语,民谣"
Awakening,2018-05-30,少女动漫是指以12至18岁的少女为主要观众对象的动漫，泛指拥,354535,唯美主义！50部少女番盘点,"日语,ACG"
生如夏花,2018-06-04,“此单集天地之灵气，雷，电，金等元素炼制而成，乃古风之最燃攻,837636,古风最攻音：蛇皮走位，飘逸五杀,"古风,宣泄"
Pure_Lavender,2018-06-01,蓝鲸，大象，大雁，兔子，乌龟，梅花鹿这些小动物也是后摇借喻的,107735,静谧后摇里的动物世界,后摇
L岺,2018-05-16,说到这张歌单的灵感，我特别感谢下载到手机上的《juice》，,519174,公共场合绝不敢外放的绅士歌曲！,流行
           私に闻いて风i,2018-06-07,第98期：<br>这一期给大家带来的是日本流行的民谣<br>,775396,傍晚散步时听的日本治愈民谣,"日语,民谣,治愈"
ゆ丶Ties of mind ヽ╯,2018-06-01,来自夏威夷的四弦琴，它的音色能使你快乐，所有的烦恼随着节奏感,1349075,海边度假 · 欢快尤克里里,"英语,快乐,旅行"
Seve7n Day Rock,2018-05-29,窗外的榕树在炙热阳光下树影好像又拉长了几分在风中婆娑起舞。夏,974832,藏在耳机里的薄荷！韩语小清新集,韩语
夜空,2018-06-04,&#10023;（&#3665;&#8226;&#768;&,1083879,唤醒清晨元气的甜蜜华语女声,"国语,流行,甜蜜"
Ananas,2018-06-04,一直以来都在寻找音乐给予我的新味道，不停的尝试各类曲风。广泛,174455,艺术流行：领悟音乐的折衷主义,"英语,流行"
吐不图巴河拉勒,2018-06-06,每一次和心有灵犀的音乐相遇都是一次神秘莫测的时空遨游。印度，,133505,古老飘渺印度风新世纪,"新世纪,世界音乐"
Eight Weeks,2018-05-30,    精选欧美百首冷门抒情R&B，一首首动人的抒情人声，轻,1845000,情感疗伤系：欧美抒情R&B,"英语,R&B"
傲娇软萌雪染酱,2018-06-05,<br><br><br><br>我平胸我自豪，我为国家省布料,129526,『日系』棉花糖般柔软的萌萌萝莉音,"日语,甜蜜"
ゆ丶Ties of mind ヽ╯,2018-05-31,女声通透、美丽却不张扬。淡淡的感觉带着简洁和清新的味道，细腻,1194536,舒缓减压的清新日系女声,"日语,治愈,学习"
念安娜,2018-05-30,中学时，最喜欢的便是每天早上骑着单车去上课。沿途的风景，轻抚,2170455,下班挤地铁专用的舒缓男声,"国语,旅行,安静"
爱唱歌的小小风,2018-05-16,说起什么事能让我起劲，那就是吃！吃吃吃！。<br>哈哈，没错,88833,吃货攻略：影视剧中的美食,影视
Pure_Lavender,2018-05-31,一个乐队里面有两个主唱是什么体验？这样的乐队少了其中一个主唱,226205,相交辉映 | 摇滚乐队双主唱,摇滚
谜一般的年轻人,2018-06-05,国际足联世界杯（FIFA&#160;World&#160;C,2321795,历届FIFA世界杯主题曲,运动
👑G~ÐЯÃɡǒИ👑,2018-06-08,听腻了传统的纯电音，是不是也想换点新花样呢？<br>那么电音,109500,别开生面！电音中的人声旁白,电子
Emotional,2018-05-31,Deep&#160;House（深度浩室）著重于浓厚的灵魂唱,336101,深度浩室：秘境回响的低频电子,电子
爱听歌的兽哥,2018-05-30,·&#160;愿每天听歌的你都有好心情&#160;·&#16,753150,夜班车上听的华语温润男声,"国语,流行"
蘑菇,2018-05-28,暗恋这种事，就好像下了一场暴雨，我故意站在你门外，几度想要敲,2413298,小众华语歌里的暗恋心事,"国语,流行,伤感"
默笙,2018-05-29,歌单选曲主题：歌曲较为轻盈安静，嗓音让人有种心情舒畅的治愈感,1458935,小众福利！安静向欧美治愈嗓,"英语,流行,治愈"
安多,2018-05-28,  四大名著，相信读过的人不少，而对于里面那些经典的人物，也,1628725,品读经典：古风中的四大名著,"国语,古风"
当然是选择原谅她啊,2018-06-08,作为一个过来人，给学弟学妹们一点建议，填报志愿的时候，一定要,442006,高考党志愿填报城市指南,流行
Aa.敷衍💨,2018-05-28,Future&#160;Bass，是一种特定的电子音乐风格，,272620,Future bass | 绵柔电子 云层穿梭,电子
winner,2018-05-08,歌单盘点一些葡萄牙精品翻唱，如果你听腻了原唱，那么就来听一听,221216,异域风情：葡语翻唱的欧美热曲,小语种
绪井奈奈未,2018-05-25,歌单整理了2000年代最具代表性的Hip-hop五十首，每一,488230,00年代最具代表性Hip Hop50首,"嘻哈,英语"
玫瑰王,2017-12-07,恭喜各位考生结束了高考这场伟大的战役，不管你成绩如何，都必须,1961420,考完试来一首Future House,"英语,电子"
y◟̽◞̽,2018-05-30,TRAP文化起源于90年代初期美国的亚特兰大，Trap这个词,517468,Trap Rap | 街头耍帅的酷炫节奏,"英语,嘻哈"
被嫌弃的唐唐的一生,2018-05-28,传统民谣（Traditional Folk）<br>此处说的,326786,传统民谣：行吟歌者的诗中世界,"国语,民谣"
biG橘子,2018-05-30,回归纯于真 ! 这期日系不插电的温柔女声希望大家喜欢。,109584,【不插电】极致温柔的日系女声,"日语,流行"
杰少,2018-05-14,Melodic Dubstep（旋律优美的回响贝斯），Mel,850852,唯美主义 Melodic Dubstep ,电子
Sugarbling。Ada,2018-04-26,无论是音乐风格还是时尚品味，近几年来，英伦一词都已不再是什么,192614,奇幻诙谐：一扫郁闷的不列颠摇滚  ,"治愈,英语"
biG橘子,2018-05-17,惚嘻哈舞曲（Wonky）是回响重拍（Dubstep）和嘻哈（,86575,Wonky : 恍惚嘻哈舞曲,"英语,电子,嘻哈"
Awakening,2018-05-16,一提到芳文社，现在的读者估计都会联想到那些萌系作品。其实，芳,275877,日本芳文社出版作品歌曲集,"日语,ACG,影视"
Jane&Danny,2018-04-17,生活在City-Pop&#160;时代时，泡沫经济时代的繁荣,144101,80年代东京City Pop精选,"日语,流行"
★、╰︶　💎,2018-05-18,每天的学业是否压得你喘不过气来。放学路上听着舒缓的纯音，欣赏,919965,解压必备 : 放学路上的欢快纯音,快乐
Extraordinary,2018-03-21,大家好啊，我发现把番名打出来给你们你们也看不见歌曲的顺序，嘤,980269,令人心跳加速的甜蜜日漫片尾曲,"日语,ACG,甜蜜"
生如夏花,2018-05-28,从前车马很慢，书信很远，作为一个很重要的联系方式，有时想想：,1323064,填词似情书范本的蜜饯古风,"国语,古风"
还不是因为你长得不好看,2018-01-04,每次有空的时候就想玩一下游戏，这可少不了电音搭配，助力游戏，,237829,王者之路：燃爆电子助你决胜疆场,"英语,电子"
涩涩的大棕熊,2017-12-27,《二代妖精之今生有幸》将于17年12月29上映，这代表我们可,129260,跨越物种的爱恋：二代妖精之今生有幸,"国语,流行,情歌"
虛榮少女,2018-01-02,2017年12月韩国公认的第一代Diva严正花携专辑回归，主,673658,韩国性感Diva：2018谁将接任第三代？,"韩语,流行"
冷门单曲酱,2017-11-04,很多歌曲我我都有很大的感触，有时候听悲伤的歌，不为的是循环那,436857,思念臆想症！想要一瓶戒掉你的朗姆酒！,"英语,伤感"
艺术猫,2017-11-03,傍晚时分，在天边缓缓落下的太阳最让人哀愁。一天就要这样过去了,582612,华语 | 斜阳余晖下，思念被拉好长,国语
L岺,2017-09-09,太宰治曾在《晚年》中写道：“我本想这个冬日就死去的，可最近拿,686685,重度孤僻症：曾经我也想过一了百了,"日语,伤感,睡前"
秋水浮萍任飘渺,2018-01-04,爱你的感觉，永远都是那么美,1226645,感谢遇见 | 你的每个样子，我都喜欢,"国语,流行,情歌"
沈清。,2018-01-05,——Are you still there？<br>——Al,519922,一道算数题：男毒加女毒等于什么？,"英语,情歌,甜蜜"
爱听歌的兽哥,2018-01-04,·&#160;愿每天听歌的你都有好心情&#160;·<br>,379577,内地摇滚新势力｜值得期待的声音,"国语,摇滚,励志"
杰少,2018-01-04,他们才刚刚开始，犹如黑夜中的萤火虫，虽然光只有一点点，但是他,423737,国内原创电子精选，冉冉升起的新星,"电子,运动"
念安娜,2018-01-03,当很多人在写年度盘点的时候，我想的是，<br>2018年哪些,723338,吉他伴民谣！文艺青年的诗与远方,"国语,民谣,治愈"
风少,2017-12-18,古巴爵士（Afro-Cuban Jazz），也叫非洲古巴爵士,53452,古巴爵士：活泼且跳跃，轻佻又不失轻柔,爵士
玫瑰王,2018-01-05,我所渴望的美，<br>是永恒与生命；<br>谁知它们竟水火不,283451,日系治愈：心之疲惫我依旧憧憬未来,"日语,ACG,治愈"
一阵春风,2018-01-04,和声是指两个或两个以上不同的音按一定的法则同时发声而构成的音,4456329,古风和声 | 把酒互吟，愁上心头,"国语,古风,思念"
默笙,2018-05-29,歌单选歌主题：歌曲忧伤与安静并存，嗓音听着有种让人情绪低落的,553332,致郁嗓：夜幕下呆坐的失恋忏悔者,"英语,流行,伤感"
Emotional,2018-05-24,future bounce就是future house（未来,206306,Future Bounce丨恣意弹跳,"电子,英语"
Awakening,2018-05-07,"不喜欢雨天,是因为雨天里心情会很低落,很迷。,害怕雷声,表面",2393908,雨天宅家禁听的日系伤感纯音,"日语,寂寞,伤感"
杰少,2018-05-29,Hi，大家好！这次制作了一张男声的Deep House，De,441168,Deep House 妖娆男嗓,"电子,运动"
生如夏花,2018-05-30,最佳当代城市专辑，可能大家不理解，因为资料也基本查不到，其实,100979,格莱美最佳当代都市专辑精选,"英语,流行"
